Time,Text
2026-09-02 08:22:30,Order 3482953144 for symbol NASDAQ:LHAI has been executed at price 1.1700 for 100 units
2026-09-02 08:22:30,Order 3482953144 successfully placed
2026-09-02 08:22:30,Call to place market order to buy 100 units of symbol NASDAQ:LHAI 
2026-09-02 08:18:58,Order 3482902253 for symbol NASDAQ:JLHL has been executed at price 7.20 for 100 units
2026-09-02 08:18:58,Order 3482900977 successfully cancelled
2026-09-02 08:18:55,Order 3482921556 for symbol NASDAQ:BIAF has been executed at price 9.09 for 100 units
2026-09-02 08:18:55,Order 3482921556 successfully placed
2026-09-02 08:18:55,Call to place market order to buy 100 units of symbol NASDAQ:BIAF 
2026-09-02 08:18:40,Order 3482919620 for symbol NASDAQ:BIAF has been executed at price 9.25 for 200 units
2026-09-02 08:18:40,Order 3482919620 successfully placed
2026-09-02 08:18:40,Call to place market order to sell 200 units of symbol NASDAQ:BIAF 
2026-09-02 08:18:08,Order 3482915505 for symbol NASDAQ:BIAF has been executed at price 9.41 for 200 units
2026-09-02 08:18:08,Order 3482915505 successfully placed
2026-09-02 08:18:08,Call to place market order to buy 200 units of symbol NASDAQ:BIAF 
2026-09-02 08:16:51,Order 3482905884 for symbol NASDAQ:BIAF has been executed at price 9.25 for 100 units
2026-09-02 08:16:51,Order 3482905884 successfully placed
2026-09-02 08:16:50,Call to place market order to sell 100 units of symbol NASDAQ:BIAF 
2026-09-02 08:16:24,Order 3482900977 modification confirmed
2026-09-02 08:16:24,Order 3482902253 successfully placed
2026-09-02 08:16:24,Modify position for symbol NASDAQ:JLHL with SL 7.25 and TP 7.53
2026-09-02 08:16:17,Order 3482900977 successfully placed
2026-09-02 08:16:16,Modify position for symbol NASDAQ:JLHL with TP 7.53
2026-09-02 08:15:56,Order 3482897934 for symbol NASDAQ:JLHL has been executed at price 7.40 for 100 units
2026-09-02 08:15:56,Order 3482897934 successfully placed
2026-09-02 08:15:56,Call to place market order to buy 100 units of symbol NASDAQ:JLHL 
2026-09-02 08:13:50,Order 3482879248 for symbol NASDAQ:LHAI has been executed at price 1.1600 for 100 units
2026-09-02 08:13:50,Order 3482879248 successfully placed
2026-09-02 08:13:50,Call to place market order to sell 100 units of symbol NASDAQ:LHAI 
2026-09-02 07:59:50,Order 3482743661 for symbol NASDAQ:BIAF has been executed at price 10.11 for 300 units
2026-09-02 07:59:50,Order 3482743661 successfully placed
2026-09-02 07:59:50,Call to place market order to buy 300 units of symbol NASDAQ:BIAF 
2026-09-02 07:59:38,Order 3482741655 for symbol NASDAQ:BIAF has been executed at price 10.20 for 200 units
2026-09-02 07:59:38,Order 3482741655 successfully placed
2026-09-02 07:59:38,Call to place market order to sell 200 units of symbol NASDAQ:BIAF 
2026-09-02 07:58:11,Order 3482728980 for symbol NASDAQ:BIAF has been executed at price 10.03 for 100 units
2026-09-02 07:58:11,Order 3482728980 successfully placed
2026-09-02 07:58:11,Call to place market order to sell 100 units of symbol NASDAQ:BIAF 
2026-09-02 07:53:05,Order 3482676162 for symbol NASDAQ:BIAF has been executed at price 10.98 for 100 units
2026-09-02 07:53:05,Order 3482676162 successfully placed
